[2024-06-02T10:35:28] Estimation window: 2003-05-28 - 2007-05-16, Best order: (5, 0, 5)-(1, 1), AIC: -7.138781069961, Final model FAILED to converge
[2024-06-02T12:25:11] Estimation window: 2003-12-24 - 2007-12-13, Best order: (5, 0, 4)-(1, 1), AIC: -7.03187236376023, Final model converged
[2024-06-02T12:25:49] Estimation window: 2003-12-26 - 2007-12-14, Best order: (4, 0, 5)-(1, 1), AIC: -7.03523527733082, Final model converged
[2024-06-02T12:26:24] Estimation window: 2003-12-29 - 2007-12-17, Best order: (1, 0, 5)-(1, 1), AIC: -7.03875251528714, Final model converged
[2024-06-02T12:27:05] Estimation window: 2003-12-30 - 2007-12-18, Best order: (4, 0, 5)-(1, 1), AIC: -7.03028648446086, Final model converged
[2024-06-02T12:27:38] Estimation window: 2003-12-31 - 2007-12-19, Best order: (3, 0, 5)-(1, 1), AIC: -7.03210016820356, Final model converged
[2024-06-02T12:28:10] Estimation window: 2004-01-02 - 2007-12-20, Best order: (5, 0, 2)-(1, 1), AIC: -7.03650490611264, Final model converged
[2024-06-02T12:29:19] Estimation window: 2004-01-05 - 2007-12-21, Best order: (4, 0, 5)-(1, 1), AIC: -3.07043814768185, Final model FAILED to converge
[2024-06-02T12:29:52] Estimation window: 2004-01-06 - 2007-12-24, Best order: (5, 0, 2)-(1, 1), AIC: -7.01387997100868, Final model converged
[2024-06-02T12:30:25] Estimation window: 2004-01-07 - 2007-12-26, Best order: (5, 0, 4)-(1, 1), AIC: -7.03979728139275, Final model converged
[2024-06-02T12:31:18] Estimation window: 2004-01-08 - 2007-12-27, Best order: (3, 0, 5)-(1, 1), AIC: -7.03169482367899, Final model converged
[2024-06-02T12:32:08] Estimation window: 2004-01-09 - 2007-12-28, Best order: (5, 0, 2)-(1, 1), AIC: -7.01059030830985, Final model converged
[2024-06-02T12:32:44] Estimation window: 2004-01-12 - 2007-12-31, Best order: (4, 0, 4)-(1, 1), AIC: -7.02847143003363, Final model FAILED to converge
[2024-06-02T12:33:16] Estimation window: 2004-01-13 - 2008-01-02, Best order: (5, 0, 2)-(1, 1), AIC: -7.02845670945551, Final model converged
[2024-06-02T12:33:45] Estimation window: 2004-01-14 - 2008-01-03, Best order: (0, 0, 4)-(1, 1), AIC: -7.01244226424742, Final model converged
[2024-06-02T12:34:16] Estimation window: 2004-01-15 - 2008-01-04, Best order: (5, 0, 5)-(1, 1), AIC: -7.01174516152157, Final model converged
[2024-06-02T12:34:47] Estimation window: 2004-01-16 - 2008-01-07, Best order: (5, 0, 5)-(1, 1), AIC: -7.02321475351916, Final model converged
[2024-06-02T12:35:19] Estimation window: 2004-01-20 - 2008-01-08, Best order: (5, 0, 2)-(1, 1), AIC: -6.99753859935314, Final model converged
[2024-06-02T12:35:50] Estimation window: 2004-01-21 - 2008-01-09, Best order: (5, 0, 5)-(1, 1), AIC: -7.01533664860261, Final model converged
[2024-06-02T12:36:20] Estimation window: 2004-01-22 - 2008-01-10, Best order: (5, 0, 2)-(1, 1), AIC: -6.99537849224489, Final model converged
[2024-06-02T12:37:07] Estimation window: 2004-01-23 - 2008-01-11, Best order: (5, 0, 2)-(1, 1), AIC: -6.99335237239377, Final model converged
[2024-06-02T12:37:38] Estimation window: 2004-01-26 - 2008-01-14, Best order: (4, 0, 5)-(1, 1), AIC: -6.98895907296935, Final model converged
[2024-06-02T12:38:08] Estimation window: 2004-01-27 - 2008-01-15, Best order: (5, 0, 5)-(1, 1), AIC: -7.00638775363539, Final model converged
[2024-06-02T12:38:39] Estimation window: 2004-01-28 - 2008-01-16, Best order: (5, 0, 5)-(1, 1), AIC: -6.98449057865466, Final model converged
[2024-06-02T12:39:08] Estimation window: 2004-01-29 - 2008-01-17, Best order: (3, 0, 3)-(1, 1), AIC: -6.99489547564216, Final model converged
[2024-06-02T12:39:37] Estimation window: 2004-01-30 - 2008-01-18, Best order: (5, 0, 5)-(1, 1), AIC: -6.99666884605236, Final model converged
[2024-06-02T12:40:06] Estimation window: 2004-02-02 - 2008-01-22, Best order: (4, 0, 5)-(1, 1), AIC: -6.97651104513921, Final model converged
[2024-06-02T12:40:40] Estimation window: 2004-02-03 - 2008-01-23, Best order: (5, 0, 4)-(1, 1), AIC: -6.98769346289032, Final model converged
[2024-06-02T12:41:09] Estimation window: 2004-02-04 - 2008-01-24, Best order: (5, 0, 3)-(1, 1), AIC: -6.97428483053486, Final model FAILED to converge
[2024-06-02T12:42:09] Estimation window: 2004-02-05 - 2008-01-25, Best order: (5, 0, 5)-(1, 1), AIC: 347.945092528694, Final model FAILED to converge
