[2024-05-31T23:52:12] Estimation window: 2007-08-07 - 2011-07-25, Best order: (4, 0, 5), AIC: -5314.02, Final model converged
[2024-06-01T00:06:26] Estimation window: 2007-09-27 - 2011-09-14, Best order: (3, 0, 3), AIC: -5242.9, Final model converged
[2024-06-01T00:06:47] Estimation window: 2007-09-28 - 2011-09-15, Best order: (2, 0, 3), AIC: -5241.96, Final model converged
[2024-06-01T00:07:07] Estimation window: 2007-10-01 - 2011-09-16, Best order: (2, 0, 3), AIC: -5241.65, Final model converged
[2024-06-01T00:07:31] Estimation window: 2007-10-02 - 2011-09-19, Best order: (2, 0, 3), AIC: -5242.02, Final model converged
[2024-06-01T00:07:51] Estimation window: 2007-10-03 - 2011-09-20, Best order: (2, 0, 3), AIC: -5241.94, Final model converged
[2024-06-01T00:08:08] Estimation window: 2007-10-04 - 2011-09-21, Best order: (3, 0, 3), AIC: -5239.28, Final model converged
[2024-06-01T00:08:34] Estimation window: 2007-10-05 - 2011-09-22, Best order: (4, 0, 3), AIC: -5236.1, Final model converged
[2024-06-01T00:09:03] Estimation window: 2007-10-08 - 2011-09-23, Best order: (3, 0, 3), AIC: -5235.87, Final model converged
[2024-06-01T00:09:34] Estimation window: 2007-10-09 - 2011-09-26, Best order: (3, 0, 3), AIC: -5234.3, Final model converged
[2024-06-01T00:10:12] Estimation window: 2007-10-10 - 2011-09-27, Best order: (3, 0, 3), AIC: -5233.6, Final model converged
[2024-06-01T00:10:48] Estimation window: 2007-10-11 - 2011-09-28, Best order: (3, 0, 3), AIC: -5232.22, Final model converged
[2024-06-01T00:11:24] Estimation window: 2007-10-12 - 2011-09-29, Best order: (3, 0, 3), AIC: -5232.12, Final model converged
[2024-06-01T00:12:00] Estimation window: 2007-10-15 - 2011-09-30, Best order: (3, 0, 3), AIC: -5230.73, Final model converged
[2024-06-01T00:12:37] Estimation window: 2007-10-16 - 2011-10-03, Best order: (3, 0, 3), AIC: -5227.69, Final model converged
[2024-06-01T00:13:20] Estimation window: 2007-10-17 - 2011-10-04, Best order: (3, 0, 3), AIC: -5227.11, Final model converged
[2024-06-01T00:13:56] Estimation window: 2007-10-18 - 2011-10-05, Best order: (3, 0, 3), AIC: -5225.52, Final model converged
[2024-06-01T00:14:27] Estimation window: 2007-10-19 - 2011-10-06, Best order: (3, 0, 3), AIC: -5223.99, Final model converged
[2024-06-01T00:15:04] Estimation window: 2007-10-22 - 2011-10-07, Best order: (3, 0, 3), AIC: -5225.56, Final model converged
[2024-06-01T00:15:40] Estimation window: 2007-10-23 - 2011-10-10, Best order: (3, 0, 3), AIC: -5221.65, Final model converged
[2024-06-01T00:16:16] Estimation window: 2007-10-24 - 2011-10-11, Best order: (3, 0, 3), AIC: -5221.67, Final model converged
[2024-06-01T00:16:56] Estimation window: 2007-10-25 - 2011-10-12, Best order: (3, 0, 3), AIC: -5221.38, Final model converged
[2024-06-01T00:17:35] Estimation window: 2007-10-26 - 2011-10-13, Best order: (3, 0, 3), AIC: -5221.34, Final model converged
[2024-06-01T00:18:15] Estimation window: 2007-10-29 - 2011-10-14, Best order: (2, 0, 3), AIC: -5220.44, Final model converged
[2024-06-01T00:18:51] Estimation window: 2007-10-30 - 2011-10-17, Best order: (2, 0, 3), AIC: -5219.56, Final model converged
[2024-06-01T00:19:29] Estimation window: 2007-10-31 - 2011-10-18, Best order: (2, 0, 3), AIC: -5218.93, Final model converged
[2024-06-01T00:20:13] Estimation window: 2007-11-01 - 2011-10-19, Best order: (2, 0, 3), AIC: -5218.91, Final model converged
[2024-06-01T00:20:55] Estimation window: 2007-11-02 - 2011-10-20, Best order: (3, 0, 3), AIC: -5220.79, Final model converged
[2024-06-01T00:21:32] Estimation window: 2007-11-05 - 2011-10-21, Best order: (3, 0, 3), AIC: -5220.02, Final model converged
[2024-06-01T00:22:06] Estimation window: 2007-11-06 - 2011-10-24, Best order: (2, 0, 3), AIC: -5219.27, Final model converged
[2024-06-01T00:22:43] Estimation window: 2007-11-07 - 2011-10-25, Best order: (2, 0, 3), AIC: -5218.86, Final model converged
[2024-06-01T00:23:20] Estimation window: 2007-11-08 - 2011-10-26, Best order: (3, 0, 3), AIC: -5221.7, Final model converged
[2024-06-01T00:23:58] Estimation window: 2007-11-09 - 2011-10-27, Best order: (2, 0, 3), AIC: -5218.04, Final model converged
[2024-06-01T00:24:36] Estimation window: 2007-11-12 - 2011-10-28, Best order: (2, 0, 3), AIC: -5218.4, Final model converged
[2024-06-01T00:25:09] Estimation window: 2007-11-13 - 2011-10-31, Best order: (2, 0, 3), AIC: -5216.47, Final model converged
[2024-06-01T00:25:49] Estimation window: 2007-11-14 - 2011-11-01, Best order: (3, 0, 3), AIC: -5215.01, Final model converged
[2024-06-01T00:26:22] Estimation window: 2007-11-15 - 2011-11-02, Best order: (3, 0, 3), AIC: -5214.45, Final model converged
[2024-06-01T00:27:01] Estimation window: 2007-11-16 - 2011-11-03, Best order: (3, 0, 3), AIC: -5213.81, Final model converged
[2024-06-01T00:27:36] Estimation window: 2007-11-19 - 2011-11-04, Best order: (3, 0, 3), AIC: -5213.64, Final model converged
[2024-06-01T00:28:13] Estimation window: 2007-11-20 - 2011-11-07, Best order: (3, 0, 3), AIC: -5214.43, Final model converged
[2024-06-01T00:28:52] Estimation window: 2007-11-21 - 2011-11-08, Best order: (3, 0, 3), AIC: -5213.84, Final model converged
[2024-06-01T00:29:34] Estimation window: 2007-11-23 - 2011-11-09, Best order: (3, 0, 3), AIC: -5209.93, Final model converged
[2024-06-01T00:30:13] Estimation window: 2007-11-26 - 2011-11-10, Best order: (3, 0, 3), AIC: -5210.65, Final model converged
[2024-06-01T00:30:52] Estimation window: 2007-11-27 - 2011-11-11, Best order: (3, 0, 3), AIC: -5210.56, Final model converged
[2024-06-01T00:31:34] Estimation window: 2007-11-28 - 2011-11-14, Best order: (3, 0, 3), AIC: -5211.47, Final model converged
[2024-06-01T00:32:12] Estimation window: 2007-11-29 - 2011-11-15, Best order: (3, 0, 3), AIC: -5214.19, Final model converged
[2024-06-01T00:32:52] Estimation window: 2007-11-30 - 2011-11-16, Best order: (3, 0, 3), AIC: -5213.46, Final model converged
[2024-06-01T00:33:35] Estimation window: 2007-12-03 - 2011-11-17, Best order: (3, 0, 3), AIC: -5212.55, Final model converged
[2024-06-01T00:34:08] Estimation window: 2007-12-04 - 2011-11-18, Best order: (3, 0, 3), AIC: -5212.52, Final model converged
[2024-06-01T00:34:50] Estimation window: 2007-12-05 - 2011-11-21, Best order: (3, 0, 3), AIC: -5211.4, Final model converged
[2024-06-01T00:35:33] Estimation window: 2007-12-06 - 2011-11-22, Best order: (3, 0, 3), AIC: -5212.21, Final model converged
[2024-06-01T00:36:11] Estimation window: 2007-12-07 - 2011-11-23, Best order: (2, 0, 3), AIC: -5211.06, Final model converged
[2024-06-01T00:36:51] Estimation window: 2007-12-10 - 2011-11-25, Best order: (2, 0, 3), AIC: -5210.99, Final model converged
[2024-06-01T00:37:33] Estimation window: 2007-12-11 - 2011-11-28, Best order: (3, 0, 3), AIC: -5208.39, Final model converged
[2024-06-01T00:38:13] Estimation window: 2007-12-12 - 2011-11-29, Best order: (3, 0, 3), AIC: -5210.23, Final model converged
[2024-06-01T00:38:54] Estimation window: 2007-12-13 - 2011-11-30, Best order: (3, 0, 3), AIC: -5204.18, Final model converged
[2024-06-01T00:39:47] Estimation window: 2007-12-14 - 2011-12-01, Best order: (3, 0, 3), AIC: -5204.11, Final model converged
[2024-06-01T00:40:42] Estimation window: 2007-12-17 - 2011-12-02, Best order: (2, 0, 3), AIC: -5204.86, Final model converged
[2024-06-01T00:41:14] Estimation window: 2007-12-18 - 2011-12-05, Best order: (2, 0, 3), AIC: -5205.19, Final model converged
[2024-06-01T00:41:40] Estimation window: 2007-12-19 - 2011-12-06, Best order: (3, 0, 3), AIC: -5205.21, Final model converged
[2024-06-01T00:42:05] Estimation window: 2007-12-20 - 2011-12-07, Best order: (2, 0, 3), AIC: -5205.24, Final model converged
[2024-06-01T00:42:31] Estimation window: 2007-12-21 - 2011-12-08, Best order: (2, 0, 3), AIC: -5203.92, Final model converged
[2024-06-01T00:42:56] Estimation window: 2007-12-24 - 2011-12-09, Best order: (2, 0, 3), AIC: -5204.31, Final model converged
[2024-06-01T00:43:22] Estimation window: 2007-12-26 - 2011-12-12, Best order: (2, 0, 3), AIC: -5204.03, Final model converged
[2024-06-01T00:43:51] Estimation window: 2007-12-27 - 2011-12-13, Best order: (3, 0, 3), AIC: -5203.46, Final model converged
[2024-06-01T00:44:16] Estimation window: 2007-12-28 - 2011-12-14, Best order: (2, 0, 3), AIC: -5203.76, Final model converged
[2024-06-01T00:44:44] Estimation window: 2007-12-31 - 2011-12-15, Best order: (2, 0, 3), AIC: -5203.74, Final model converged
[2024-06-01T00:45:07] Estimation window: 2008-01-02 - 2011-12-16, Best order: (2, 0, 3), AIC: -5203.91, Final model converged
[2024-06-01T00:45:29] Estimation window: 2008-01-03 - 2011-12-19, Best order: (2, 0, 3), AIC: -5204.18, Final model converged
[2024-06-01T00:45:49] Estimation window: 2008-01-04 - 2011-12-20, Best order: (2, 0, 3), AIC: -5201.71, Final model converged
[2024-06-01T00:46:09] Estimation window: 2008-01-07 - 2011-12-21, Best order: (2, 0, 3), AIC: -5203.53, Final model converged
[2024-06-01T00:46:38] Estimation window: 2008-01-08 - 2011-12-22, Best order: (2, 0, 3), AIC: -5203.26, Final model converged
[2024-06-01T00:47:00] Estimation window: 2008-01-09 - 2011-12-23, Best order: (2, 0, 3), AIC: -5203.86, Final model converged
[2024-06-01T00:47:28] Estimation window: 2008-01-10 - 2011-12-27, Best order: (2, 0, 3), AIC: -5204.53, Final model converged
[2024-06-01T00:47:48] Estimation window: 2008-01-11 - 2011-12-28, Best order: (2, 0, 3), AIC: -5204.25, Final model converged
[2024-06-01T00:48:10] Estimation window: 2008-01-14 - 2011-12-29, Best order: (2, 0, 3), AIC: -5204.6, Final model converged
[2024-06-01T00:48:29] Estimation window: 2008-01-15 - 2011-12-30, Best order: (2, 0, 3), AIC: -5204.77, Final model converged
[2024-06-01T00:48:55] Estimation window: 2008-01-16 - 2012-01-03, Best order: (3, 0, 3), AIC: -5206.24, Final model converged
[2024-06-01T00:49:20] Estimation window: 2008-01-17 - 2012-01-04, Best order: (3, 0, 3), AIC: -5206.57, Final model converged
[2024-06-01T00:49:45] Estimation window: 2008-01-18 - 2012-01-05, Best order: (3, 0, 3), AIC: -5209.32, Final model converged
[2024-06-01T00:50:11] Estimation window: 2008-01-22 - 2012-01-06, Best order: (2, 0, 3), AIC: -5209.5, Final model converged
[2024-06-01T00:50:35] Estimation window: 2008-01-23 - 2012-01-09, Best order: (2, 0, 3), AIC: -5209.74, Final model converged
[2024-06-01T00:51:00] Estimation window: 2008-01-24 - 2012-01-10, Best order: (2, 0, 3), AIC: -5211.12, Final model converged
[2024-06-01T00:51:19] Estimation window: 2008-01-25 - 2012-01-11, Best order: (3, 0, 3), AIC: -5211.39, Final model converged
[2024-06-01T00:51:40] Estimation window: 2008-01-28 - 2012-01-12, Best order: (3, 0, 3), AIC: -5212.09, Final model converged
[2024-06-01T00:52:03] Estimation window: 2008-01-29 - 2012-01-13, Best order: (3, 0, 3), AIC: -5213.21, Final model converged
[2024-06-01T00:52:27] Estimation window: 2008-01-30 - 2012-01-17, Best order: (3, 0, 3), AIC: -5213.36, Final model converged
[2024-06-01T00:52:49] Estimation window: 2008-01-31 - 2012-01-18, Best order: (3, 0, 3), AIC: -5213.05, Final model converged
[2024-06-01T00:53:16] Estimation window: 2008-02-01 - 2012-01-19, Best order: (3, 0, 3), AIC: -5213.86, Final model converged
[2024-06-01T00:53:39] Estimation window: 2008-02-04 - 2012-01-20, Best order: (3, 0, 3), AIC: -5214.25, Final model converged
[2024-06-01T00:54:06] Estimation window: 2008-02-05 - 2012-01-23, Best order: (3, 0, 3), AIC: -5215.24, Final model converged
[2024-06-01T00:54:38] Estimation window: 2008-02-06 - 2012-01-24, Best order: (3, 0, 3), AIC: -5219.06, Final model converged
[2024-06-01T00:55:07] Estimation window: 2008-02-07 - 2012-01-25, Best order: (3, 0, 3), AIC: -5218.84, Final model converged
[2024-06-01T00:55:31] Estimation window: 2008-02-08 - 2012-01-26, Best order: (3, 0, 3), AIC: -5218.93, Final model converged
[2024-06-01T00:55:58] Estimation window: 2008-02-11 - 2012-01-27, Best order: (3, 0, 3), AIC: -5219.05, Final model converged
[2024-06-01T00:56:26] Estimation window: 2008-02-12 - 2012-01-30, Best order: (2, 0, 3), AIC: -5219.28, Final model converged
[2024-06-01T00:56:49] Estimation window: 2008-02-13 - 2012-01-31, Best order: (3, 0, 3), AIC: -5219.61, Final model converged
[2024-06-01T00:57:14] Estimation window: 2008-02-14 - 2012-02-01, Best order: (3, 0, 3), AIC: -5219.64, Final model converged
[2024-06-01T00:57:34] Estimation window: 2008-02-15 - 2012-02-02, Best order: (3, 0, 3), AIC: -5220.11, Final model converged
[2024-06-01T00:57:56] Estimation window: 2008-02-19 - 2012-02-03, Best order: (2, 0, 3), AIC: -5219.37, Final model converged
[2024-06-01T00:58:20] Estimation window: 2008-02-20 - 2012-02-06, Best order: (3, 0, 3), AIC: -5219.37, Final model converged
[2024-06-01T00:58:43] Estimation window: 2008-02-21 - 2012-02-07, Best order: (3, 0, 3), AIC: -5219.52, Final model converged
[2024-06-01T00:59:06] Estimation window: 2008-02-22 - 2012-02-08, Best order: (2, 0, 3), AIC: -5219.73, Final model converged
[2024-06-01T00:59:32] Estimation window: 2008-02-25 - 2012-02-09, Best order: (2, 0, 3), AIC: -5219.91, Final model converged
[2024-06-01T00:59:54] Estimation window: 2008-02-26 - 2012-02-10, Best order: (3, 0, 3), AIC: -5220.07, Final model converged
[2024-06-01T01:00:18] Estimation window: 2008-02-27 - 2012-02-13, Best order: (2, 0, 3), AIC: -5220.51, Final model converged
[2024-06-01T01:00:41] Estimation window: 2008-02-28 - 2012-02-14, Best order: (2, 0, 3), AIC: -5220.54, Final model converged
[2024-06-01T01:01:02] Estimation window: 2008-02-29 - 2012-02-15, Best order: (3, 0, 3), AIC: -5221.13, Final model converged
[2024-06-01T01:01:26] Estimation window: 2008-03-03 - 2012-02-16, Best order: (3, 0, 3), AIC: -5222.75, Final model converged
[2024-06-01T01:01:48] Estimation window: 2008-03-04 - 2012-02-17, Best order: (3, 0, 3), AIC: -5222.76, Final model converged
[2024-06-01T01:02:13] Estimation window: 2008-03-05 - 2012-02-21, Best order: (3, 0, 3), AIC: -5222.94, Final model converged
[2024-06-01T01:02:40] Estimation window: 2008-03-06 - 2012-02-22, Best order: (2, 0, 3), AIC: -5223, Final model converged
[2024-06-01T01:03:02] Estimation window: 2008-03-07 - 2012-02-23, Best order: (3, 0, 3), AIC: -5224.37, Final model converged
[2024-06-01T01:03:23] Estimation window: 2008-03-10 - 2012-02-24, Best order: (3, 0, 3), AIC: -5224.81, Final model converged
[2024-06-01T01:03:44] Estimation window: 2008-03-11 - 2012-02-27, Best order: (2, 0, 3), AIC: -5225.37, Final model converged
[2024-06-01T01:04:05] Estimation window: 2008-03-12 - 2012-02-28, Best order: (3, 0, 3), AIC: -5230.27, Final model converged
[2024-06-01T01:04:29] Estimation window: 2008-03-13 - 2012-02-29, Best order: (2, 0, 3), AIC: -5230.75, Final model converged
[2024-06-01T01:04:50] Estimation window: 2008-03-14 - 2012-03-01, Best order: (2, 0, 3), AIC: -5230.65, Final model converged
[2024-06-01T01:05:13] Estimation window: 2008-03-17 - 2012-03-02, Best order: (2, 0, 3), AIC: -5231.6, Final model converged
[2024-06-01T01:05:36] Estimation window: 2008-03-18 - 2012-03-05, Best order: (2, 0, 3), AIC: -5231.64, Final model converged
[2024-06-01T01:05:56] Estimation window: 2008-03-19 - 2012-03-06, Best order: (3, 0, 3), AIC: -5235.17, Final model converged
[2024-06-01T01:06:20] Estimation window: 2008-03-20 - 2012-03-07, Best order: (2, 0, 3), AIC: -5236.23, Final model converged
[2024-06-01T01:06:40] Estimation window: 2008-03-24 - 2012-03-08, Best order: (3, 0, 3), AIC: -5237.84, Final model converged
[2024-06-01T01:07:00] Estimation window: 2008-03-25 - 2012-03-09, Best order: (3, 0, 3), AIC: -5238.36, Final model converged
[2024-06-01T01:07:20] Estimation window: 2008-03-26 - 2012-03-12, Best order: (3, 0, 3), AIC: -5238.39, Final model converged
[2024-06-01T01:07:42] Estimation window: 2008-03-27 - 2012-03-13, Best order: (3, 0, 3), AIC: -5237.45, Final model converged
[2024-06-01T01:08:04] Estimation window: 2008-03-28 - 2012-03-14, Best order: (3, 0, 3), AIC: -5238.25, Final model converged
[2024-06-01T01:08:25] Estimation window: 2008-03-31 - 2012-03-15, Best order: (2, 0, 3), AIC: -5238.55, Final model converged
[2024-06-01T01:08:50] Estimation window: 2008-04-01 - 2012-03-16, Best order: (2, 0, 3), AIC: -5239.07, Final model converged
[2024-06-01T01:09:08] Estimation window: 2008-04-02 - 2012-03-19, Best order: (3, 0, 3), AIC: -5242.25, Final model converged
[2024-06-01T01:09:27] Estimation window: 2008-04-03 - 2012-03-20, Best order: (3, 0, 3), AIC: -5242.24, Final model converged
[2024-06-01T01:09:46] Estimation window: 2008-04-04 - 2012-03-21, Best order: (3, 0, 3), AIC: -5242.24, Final model converged
[2024-06-01T01:10:10] Estimation window: 2008-04-07 - 2012-03-22, Best order: (3, 0, 3), AIC: -5242.11, Final model converged
[2024-06-01T01:10:34] Estimation window: 2008-04-08 - 2012-03-23, Best order: (2, 0, 3), AIC: -5242.53, Final model converged
[2024-06-01T01:10:54] Estimation window: 2008-04-09 - 2012-03-26, Best order: (2, 0, 3), AIC: -5242, Final model converged
[2024-06-01T01:11:14] Estimation window: 2008-04-10 - 2012-03-27, Best order: (4, 0, 5), AIC: -5241.83, Final model converged
[2024-06-01T01:11:34] Estimation window: 2008-04-11 - 2012-03-28, Best order: (2, 0, 3), AIC: -5242.11, Final model converged
[2024-06-01T01:11:55] Estimation window: 2008-04-14 - 2012-03-29, Best order: (4, 0, 5), AIC: -5243.46, Final model converged
[2024-06-01T01:12:24] Estimation window: 2008-04-15 - 2012-03-30, Best order: (4, 0, 5), AIC: -5243.44, Final model converged
[2024-06-01T01:12:44] Estimation window: 2008-04-16 - 2012-04-02, Best order: (4, 0, 5), AIC: -5243.32, Final model converged
[2024-06-01T01:13:07] Estimation window: 2008-04-17 - 2012-04-03, Best order: (4, 0, 5), AIC: -5245.66, Final model converged
