[2024-05-31T23:54:26] Estimation window: 2008-04-18 - 2012-04-04, Best order: (4, 0, 5), AIC: -5245.26, Final model converged
[2024-06-01T00:49:03] Estimation window: 2008-10-07 - 2012-09-24, Best order: (4, 0, 3), AIC: -5349.98, Final model converged
[2024-06-01T00:49:27] Estimation window: 2008-10-08 - 2012-09-25, Best order: (3, 0, 3), AIC: -5367.24, Final model converged
[2024-06-01T00:49:48] Estimation window: 2008-10-09 - 2012-09-26, Best order: (3, 0, 4), AIC: -5369.12, Final model converged
[2024-06-01T00:50:11] Estimation window: 2008-10-10 - 2012-09-27, Best order: (4, 0, 3), AIC: -5387.28, Final model converged
[2024-06-01T00:50:34] Estimation window: 2008-10-13 - 2012-09-28, Best order: (4, 0, 3), AIC: -5388.53, Final model converged
[2024-06-01T00:50:53] Estimation window: 2008-10-14 - 2012-10-01, Best order: (3, 0, 5), AIC: -5428.55, Final model converged
[2024-06-01T00:51:12] Estimation window: 2008-10-15 - 2012-10-02, Best order: (3, 0, 5), AIC: -5431.49, Final model converged
[2024-06-01T00:51:31] Estimation window: 2008-10-16 - 2012-10-03, Best order: (3, 0, 5), AIC: -5468.72, Final model converged
[2024-06-01T00:51:51] Estimation window: 2008-10-17 - 2012-10-04, Best order: (3, 0, 5), AIC: -5479.12, Final model converged
[2024-06-01T00:52:10] Estimation window: 2008-10-20 - 2012-10-05, Best order: (3, 0, 5), AIC: -5479.68, Final model converged
[2024-06-01T00:52:30] Estimation window: 2008-10-21 - 2012-10-08, Best order: (3, 0, 5), AIC: -5485.92, Final model converged
[2024-06-01T00:52:53] Estimation window: 2008-10-22 - 2012-10-09, Best order: (3, 0, 5), AIC: -5488.66, Final model converged
[2024-06-01T00:53:15] Estimation window: 2008-10-23 - 2012-10-10, Best order: (4, 0, 4), AIC: -5507.4, Final model converged
[2024-06-01T00:53:35] Estimation window: 2008-10-24 - 2012-10-11, Best order: (4, 0, 3), AIC: -5508.52, Final model converged
[2024-06-01T00:53:52] Estimation window: 2008-10-27 - 2012-10-12, Best order: (3, 0, 5), AIC: -5513.34, Final model converged
[2024-06-01T00:54:13] Estimation window: 2008-10-28 - 2012-10-15, Best order: (5, 0, 5), AIC: -5518.47, Final model converged
[2024-06-01T00:54:35] Estimation window: 2008-10-29 - 2012-10-16, Best order: (2, 0, 5), AIC: -5574.35, Final model converged
[2024-06-01T00:55:00] Estimation window: 2008-10-30 - 2012-10-17, Best order: (2, 0, 5), AIC: -5574.54, Final model converged
[2024-06-01T00:55:22] Estimation window: 2008-10-31 - 2012-10-18, Best order: (2, 0, 5), AIC: -5574.66, Final model converged
[2024-06-01T00:55:40] Estimation window: 2008-11-03 - 2012-10-19, Best order: (2, 0, 5), AIC: -5575.27, Final model converged
[2024-06-01T00:55:58] Estimation window: 2008-11-04 - 2012-10-22, Best order: (2, 0, 5), AIC: -5575.96, Final model converged
[2024-06-01T00:56:17] Estimation window: 2008-11-05 - 2012-10-23, Best order: (5, 0, 2), AIC: -5576.45, Final model converged
[2024-06-01T00:56:35] Estimation window: 2008-11-06 - 2012-10-24, Best order: (2, 0, 5), AIC: -5597.13, Final model converged
[2024-06-01T00:56:56] Estimation window: 2008-11-07 - 2012-10-25, Best order: (5, 0, 5), AIC: -5602.12, Final model converged
[2024-06-01T00:57:13] Estimation window: 2008-11-10 - 2012-10-26, Best order: (2, 0, 5), AIC: -5601.12, Final model converged
[2024-06-01T00:57:33] Estimation window: 2008-11-11 - 2012-10-31, Best order: (5, 0, 5), AIC: -5607.63, Final model converged
[2024-06-01T00:57:51] Estimation window: 2008-11-12 - 2012-11-01, Best order: (2, 0, 5), AIC: -5604.95, Final model converged
[2024-06-01T00:58:10] Estimation window: 2008-11-13 - 2012-11-02, Best order: (2, 0, 5), AIC: -5618.2, Final model converged
[2024-06-01T00:58:30] Estimation window: 2008-11-14 - 2012-11-05, Best order: (2, 0, 5), AIC: -5627.93, Final model converged
[2024-06-01T00:58:50] Estimation window: 2008-11-17 - 2012-11-06, Best order: (2, 0, 5), AIC: -5633.85, Final model converged
[2024-06-01T00:59:09] Estimation window: 2008-11-18 - 2012-11-07, Best order: (2, 0, 5), AIC: -5634.98, Final model converged
[2024-06-01T00:59:30] Estimation window: 2008-11-19 - 2012-11-08, Best order: (2, 0, 5), AIC: -5634.22, Final model converged
[2024-06-01T00:59:52] Estimation window: 2008-11-20 - 2012-11-09, Best order: (4, 0, 4), AIC: -5651.05, Final model converged
[2024-06-01T01:00:17] Estimation window: 2008-11-21 - 2012-11-12, Best order: (4, 0, 4), AIC: -5669.24, Final model converged
[2024-06-01T01:00:39] Estimation window: 2008-11-24 - 2012-11-13, Best order: (4, 0, 4), AIC: -5686.36, Final model converged
[2024-06-01T01:01:00] Estimation window: 2008-11-25 - 2012-11-14, Best order: (4, 0, 4), AIC: -5711.12, Final model converged
[2024-06-01T01:01:21] Estimation window: 2008-11-26 - 2012-11-15, Best order: (4, 0, 4), AIC: -5711, Final model converged
[2024-06-01T01:01:46] Estimation window: 2008-11-28 - 2012-11-16, Best order: (4, 0, 4), AIC: -5716.3, Final model converged
[2024-06-01T01:02:10] Estimation window: 2008-12-01 - 2012-11-19, Best order: (4, 0, 4), AIC: -5714.58, Final model converged
[2024-06-01T01:02:30] Estimation window: 2008-12-02 - 2012-11-20, Best order: (4, 0, 4), AIC: -5759.48, Final model converged
[2024-06-01T01:02:50] Estimation window: 2008-12-03 - 2012-11-21, Best order: (4, 0, 4), AIC: -5767.35, Final model converged
[2024-06-01T01:03:15] Estimation window: 2008-12-04 - 2012-11-23, Best order: (4, 0, 4), AIC: -5770.54, Final model converged
[2024-06-01T01:03:36] Estimation window: 2008-12-05 - 2012-11-26, Best order: (4, 0, 4), AIC: -5775.25, Final model converged
[2024-06-01T01:04:00] Estimation window: 2008-12-08 - 2012-11-27, Best order: (4, 0, 4), AIC: -5783.52, Final model converged
[2024-06-01T01:04:25] Estimation window: 2008-12-09 - 2012-11-28, Best order: (4, 0, 4), AIC: -5789.88, Final model converged
[2024-06-01T01:04:52] Estimation window: 2008-12-10 - 2012-11-29, Best order: (4, 0, 4), AIC: -5791.84, Final model converged
[2024-06-01T01:05:16] Estimation window: 2008-12-11 - 2012-11-30, Best order: (4, 0, 4), AIC: -5791.92, Final model converged
[2024-06-01T01:05:36] Estimation window: 2008-12-12 - 2012-12-03, Best order: (4, 0, 4), AIC: -5795.34, Final model converged
[2024-06-01T01:05:58] Estimation window: 2008-12-15 - 2012-12-04, Best order: (4, 0, 4), AIC: -5795.45, Final model converged
[2024-06-01T01:06:20] Estimation window: 2008-12-16 - 2012-12-05, Best order: (4, 0, 4), AIC: -5796.28, Final model converged
[2024-06-01T01:06:44] Estimation window: 2008-12-17 - 2012-12-06, Best order: (4, 0, 4), AIC: -5811.58, Final model converged
[2024-06-01T01:07:08] Estimation window: 2008-12-18 - 2012-12-07, Best order: (4, 0, 4), AIC: -5812.28, Final model converged
[2024-06-01T01:07:30] Estimation window: 2008-12-19 - 2012-12-10, Best order: (4, 0, 4), AIC: -5815.47, Final model converged
[2024-06-01T01:07:56] Estimation window: 2008-12-22 - 2012-12-11, Best order: (5, 0, 5), AIC: -5815.67, Final model converged
[2024-06-01T01:08:19] Estimation window: 2008-12-23 - 2012-12-12, Best order: (4, 0, 4), AIC: -5816.81, Final model converged
[2024-06-01T01:08:43] Estimation window: 2008-12-24 - 2012-12-13, Best order: (5, 0, 5), AIC: -5818.16, Final model converged
[2024-06-01T01:09:09] Estimation window: 2008-12-26 - 2012-12-14, Best order: (5, 0, 5), AIC: -5819.28, Final model converged
