[2024-06-02T18:41:38] Estimation window: 2007-08-07 - 2011-07-25, Best order: (5, 0, 5)-(1, 1), AIC: -5.81566622006188, Final model FAILED to converge
[2024-06-02T18:50:44] Estimation window: 2007-09-18 - 2011-09-02, Best order: (4, 0, 4)-(1, 1), AIC: -5.74530565176874, Final model FAILED to converge
[2024-06-02T18:51:02] Estimation window: 2007-09-19 - 2011-09-06, Best order: (5, 0, 5)-(1, 1), AIC: -5.7294003818733, Final model converged
[2024-06-02T18:51:21] Estimation window: 2007-09-20 - 2011-09-07, Best order: (4, 0, 5)-(1, 1), AIC: -5.73292589782236, Final model converged
[2024-06-02T18:51:39] Estimation window: 2007-09-21 - 2011-09-08, Best order: (1, 0, 1)-(1, 1), AIC: -5.73789964868362, Final model converged
[2024-06-02T18:51:56] Estimation window: 2007-09-24 - 2011-09-09, Best order: (1, 0, 1)-(1, 1), AIC: -5.73496734014653, Final model converged
[2024-06-02T18:52:14] Estimation window: 2007-09-25 - 2011-09-12, Best order: (1, 0, 1)-(1, 1), AIC: -5.73391887669593, Final model converged
[2024-06-02T18:52:32] Estimation window: 2007-09-26 - 2011-09-13, Best order: (5, 0, 4)-(1, 1), AIC: -5.72971149460982, Final model converged
[2024-06-02T18:52:52] Estimation window: 2007-09-27 - 2011-09-14, Best order: (1, 0, 1)-(1, 1), AIC: -5.73149524852874, Final model converged
[2024-06-02T18:53:09] Estimation window: 2007-09-28 - 2011-09-15, Best order: (5, 0, 4)-(1, 1), AIC: -5.72666599834758, Final model converged
[2024-06-02T18:53:29] Estimation window: 2007-10-01 - 2011-09-16, Best order: (4, 0, 5)-(1, 1), AIC: -5.72528489000527, Final model converged
[2024-06-02T18:53:47] Estimation window: 2007-10-02 - 2011-09-19, Best order: (3, 0, 3)-(1, 1), AIC: -5.73026055214186, Final model converged
[2024-06-02T18:54:05] Estimation window: 2007-10-03 - 2011-09-20, Best order: (1, 0, 1)-(1, 1), AIC: -5.72840724751386, Final model converged
[2024-06-02T18:54:22] Estimation window: 2007-10-04 - 2011-09-21, Best order: (1, 0, 1)-(1, 1), AIC: -5.72454147129605, Final model converged
[2024-06-02T18:54:44] Estimation window: 2007-10-05 - 2011-09-22, Best order: (5, 0, 5)-(1, 1), AIC: -5.71522758421237, Final model converged
[2024-06-02T18:55:02] Estimation window: 2007-10-08 - 2011-09-23, Best order: (1, 0, 1)-(1, 1), AIC: -5.71975185809437, Final model converged
[2024-06-02T18:55:20] Estimation window: 2007-10-09 - 2011-09-26, Best order: (4, 0, 2)-(1, 1), AIC: -5.71882968991525, Final model converged
[2024-06-02T18:55:39] Estimation window: 2007-10-10 - 2011-09-27, Best order: (4, 0, 5)-(1, 1), AIC: -5.72134444939241, Final model converged
[2024-06-02T18:56:01] Estimation window: 2007-10-11 - 2011-09-28, Best order: (4, 0, 3)-(1, 1), AIC: -5.71494396488154, Final model converged
[2024-06-02T18:56:25] Estimation window: 2007-10-12 - 2011-09-29, Best order: (5, 0, 4)-(1, 1), AIC: -5.71406575056266, Final model FAILED to converge
[2024-06-02T18:56:43] Estimation window: 2007-10-15 - 2011-09-30, Best order: (4, 0, 5)-(1, 1), AIC: -5.7111926463963, Final model converged
[2024-06-02T18:57:15] Estimation window: 2007-10-16 - 2011-10-03, Best order: (4, 0, 5)-(1, 1), AIC: -5.71455576654202, Final model FAILED to converge
[2024-06-02T18:57:44] Estimation window: 2007-10-17 - 2011-10-04, Best order: (1, 0, 1)-(1, 1), AIC: -5.70929366422471, Final model converged
[2024-06-02T18:58:03] Estimation window: 2007-10-18 - 2011-10-05, Best order: (4, 0, 5)-(1, 1), AIC: -5.72095080167346, Final model converged
[2024-06-02T18:58:21] Estimation window: 2007-10-19 - 2011-10-06, Best order: (5, 0, 5)-(1, 1), AIC: -5.70353768980866, Final model converged
[2024-06-02T18:58:40] Estimation window: 2007-10-22 - 2011-10-07, Best order: (4, 0, 2)-(1, 1), AIC: -5.72458205904653, Final model converged
[2024-06-02T18:58:58] Estimation window: 2007-10-23 - 2011-10-10, Best order: (1, 0, 1)-(1, 1), AIC: -5.7056416755249, Final model converged
[2024-06-02T18:59:16] Estimation window: 2007-10-24 - 2011-10-11, Best order: (5, 0, 4)-(1, 1), AIC: -5.70704965264803, Final model FAILED to converge
[2024-06-02T18:59:34] Estimation window: 2007-10-25 - 2011-10-12, Best order: (5, 0, 4)-(1, 1), AIC: -5.69467516328759, Final model FAILED to converge
[2024-06-02T18:59:52] Estimation window: 2007-10-26 - 2011-10-13, Best order: (4, 0, 5)-(1, 1), AIC: -5.70511022346801, Final model converged
[2024-06-02T19:00:10] Estimation window: 2007-10-29 - 2011-10-14, Best order: (5, 0, 5)-(1, 1), AIC: -5.70649989737933, Final model converged
[2024-06-02T19:00:29] Estimation window: 2007-10-30 - 2011-10-17, Best order: (5, 0, 5)-(1, 1), AIC: -5.7374637083351, Final model FAILED to converge
[2024-06-02T19:01:12] Estimation window: 2007-10-31 - 2011-10-18, Best order: (5, 0, 5)-(1, 1), AIC: -2.34858893568369, Final model FAILED to converge
[2024-06-02T19:01:31] Estimation window: 2007-11-01 - 2011-10-19, Best order: (4, 0, 4)-(1, 1), AIC: -5.71113927243904, Final model converged
[2024-06-02T19:01:50] Estimation window: 2007-11-02 - 2011-10-20, Best order: (5, 0, 2)-(1, 1), AIC: -5.69903747819234, Final model converged
[2024-06-02T19:02:08] Estimation window: 2007-11-05 - 2011-10-21, Best order: (2, 0, 2)-(1, 1), AIC: -5.70026573597508, Final model converged
[2024-06-02T19:02:26] Estimation window: 2007-11-06 - 2011-10-24, Best order: (3, 0, 3)-(1, 1), AIC: -5.70206267220554, Final model converged
[2024-06-02T19:02:43] Estimation window: 2007-11-07 - 2011-10-25, Best order: (4, 0, 4)-(1, 1), AIC: -5.69942728513392, Final model converged
[2024-06-02T19:02:59] Estimation window: 2007-11-08 - 2011-10-26, Best order: (1, 0, 1)-(1, 1), AIC: -5.7050930947563, Final model converged
[2024-06-02T19:03:15] Estimation window: 2007-11-09 - 2011-10-27, Best order: (5, 0, 5)-(1, 1), AIC: -5.70706745606163, Final model converged
[2024-06-02T19:03:32] Estimation window: 2007-11-12 - 2011-10-28, Best order: (4, 0, 3)-(1, 1), AIC: -5.70034823833567, Final model converged
[2024-06-02T19:03:52] Estimation window: 2007-11-13 - 2011-10-31, Best order: (5, 0, 5)-(1, 1), AIC: -5.71120917685141, Final model converged
[2024-06-02T19:04:09] Estimation window: 2007-11-14 - 2011-11-01, Best order: (5, 0, 4)-(1, 1), AIC: -5.68941500558431, Final model converged
[2024-06-02T19:04:26] Estimation window: 2007-11-15 - 2011-11-02, Best order: (3, 0, 3)-(1, 1), AIC: -5.69932152531828, Final model converged
[2024-06-02T19:04:41] Estimation window: 2007-11-16 - 2011-11-03, Best order: (5, 0, 5)-(1, 1), AIC: -5.72193844302898, Final model converged
[2024-06-02T19:04:56] Estimation window: 2007-11-19 - 2011-11-04, Best order: (3, 0, 3)-(1, 1), AIC: -5.69940712475561, Final model FAILED to converge
[2024-06-02T19:05:11] Estimation window: 2007-11-20 - 2011-11-07, Best order: (1, 0, 1)-(1, 1), AIC: -5.69925932699701, Final model converged
[2024-06-02T19:05:26] Estimation window: 2007-11-21 - 2011-11-08, Best order: (1, 0, 1)-(1, 1), AIC: -5.69876108193824, Final model converged
[2024-06-02T19:05:40] Estimation window: 2007-11-23 - 2011-11-09, Best order: (1, 0, 1)-(1, 1), AIC: -5.69491936817994, Final model converged
[2024-06-02T19:05:55] Estimation window: 2007-11-26 - 2011-11-10, Best order: (5, 0, 5)-(1, 1), AIC: -5.69322071436422, Final model converged
[2024-06-02T19:06:09] Estimation window: 2007-11-27 - 2011-11-11, Best order: (1, 0, 1)-(1, 1), AIC: -5.6957858468195, Final model converged
[2024-06-02T19:06:24] Estimation window: 2007-11-28 - 2011-11-14, Best order: (4, 0, 5)-(1, 1), AIC: -5.69349649088363, Final model converged
[2024-06-02T19:06:39] Estimation window: 2007-11-29 - 2011-11-15, Best order: (2, 0, 4)-(1, 1), AIC: -5.70732607484233, Final model converged
[2024-06-02T19:06:54] Estimation window: 2007-11-30 - 2011-11-16, Best order: (5, 0, 5)-(1, 1), AIC: -5.71178179064954, Final model converged
[2024-06-02T19:07:09] Estimation window: 2007-12-03 - 2011-11-17, Best order: (1, 0, 1)-(1, 1), AIC: -5.69679641214305, Final model converged
[2024-06-02T19:07:24] Estimation window: 2007-12-04 - 2011-11-18, Best order: (5, 0, 4)-(1, 1), AIC: -5.69183337221311, Final model converged
[2024-06-02T19:07:50] Estimation window: 2007-12-05 - 2011-11-21, Best order: (5, 0, 5)-(1, 1), AIC: -5.70203930543414, Final model converged
[2024-06-02T19:08:05] Estimation window: 2007-12-06 - 2011-11-22, Best order: (1, 0, 1)-(1, 1), AIC: -5.6956517010256, Final model converged
[2024-06-02T19:08:22] Estimation window: 2007-12-07 - 2011-11-23, Best order: (5, 0, 4)-(1, 1), AIC: -5.69529914806819, Final model converged
[2024-06-02T19:08:37] Estimation window: 2007-12-10 - 2011-11-25, Best order: (4, 0, 2)-(1, 1), AIC: -5.6965196122098, Final model converged
[2024-06-02T19:08:53] Estimation window: 2007-12-11 - 2011-11-28, Best order: (2, 0, 2)-(1, 1), AIC: -5.6882143643685, Final model converged
[2024-06-02T19:09:07] Estimation window: 2007-12-12 - 2011-11-29, Best order: (5, 0, 4)-(1, 1), AIC: -5.68846073448261, Final model converged
[2024-06-02T19:09:22] Estimation window: 2007-12-13 - 2011-11-30, Best order: (1, 0, 1)-(1, 1), AIC: -5.6872363904259, Final model converged
[2024-06-02T19:09:45] Estimation window: 2007-12-14 - 2011-12-01, Best order: (4, 0, 5)-(1, 1), AIC: -5.69697185296431, Final model converged
[2024-06-02T19:10:00] Estimation window: 2007-12-17 - 2011-12-02, Best order: (1, 0, 1)-(1, 1), AIC: -5.68695425981785, Final model converged
[2024-06-02T19:10:22] Estimation window: 2007-12-18 - 2011-12-05, Best order: (4, 0, 5)-(1, 1), AIC: -5.68018603536748, Final model FAILED to converge
[2024-06-02T19:10:38] Estimation window: 2007-12-19 - 2011-12-06, Best order: (4, 0, 5)-(1, 1), AIC: -5.68267959091623, Final model converged
[2024-06-02T19:10:53] Estimation window: 2007-12-20 - 2011-12-07, Best order: (1, 0, 1)-(1, 1), AIC: -5.68670578240272, Final model converged
[2024-06-02T19:11:17] Estimation window: 2007-12-21 - 2011-12-08, Best order: (1, 0, 1)-(1, 1), AIC: -5.68509167554809, Final model converged
[2024-06-02T19:11:31] Estimation window: 2007-12-24 - 2011-12-09, Best order: (4, 0, 5)-(1, 1), AIC: -5.69106024694809, Final model FAILED to converge
[2024-06-02T19:11:52] Estimation window: 2007-12-26 - 2011-12-12, Best order: (5, 0, 5)-(1, 1), AIC: 636.942517709784, Final model converged
[2024-06-02T19:12:08] Estimation window: 2007-12-27 - 2011-12-13, Best order: (5, 0, 5)-(1, 1), AIC: -5.68473903458764, Final model converged
[2024-06-02T19:12:28] Estimation window: 2007-12-28 - 2011-12-14, Best order: (5, 0, 5)-(1, 1), AIC: -5.68538896827023, Final model converged
[2024-06-02T19:12:49] Estimation window: 2007-12-31 - 2011-12-15, Best order: (5, 0, 3)-(1, 1), AIC: -5.6810945752174, Final model converged
[2024-06-02T19:13:17] Estimation window: 2008-01-02 - 2011-12-16, Best order: (4, 0, 3)-(1, 1), AIC: -5.68549464188619, Final model converged
[2024-06-02T19:13:33] Estimation window: 2008-01-03 - 2011-12-19, Best order: (5, 0, 5)-(1, 1), AIC: -5.69454492037938, Final model converged
[2024-06-02T19:13:49] Estimation window: 2008-01-04 - 2011-12-20, Best order: (4, 0, 5)-(1, 1), AIC: -5.68648040290313, Final model converged
[2024-06-02T19:14:04] Estimation window: 2008-01-07 - 2011-12-21, Best order: (3, 0, 3)-(1, 1), AIC: -5.68533395785776, Final model converged
[2024-06-02T19:14:18] Estimation window: 2008-01-08 - 2011-12-22, Best order: (1, 0, 1)-(1, 1), AIC: -5.68485161158342, Final model converged
[2024-06-02T19:14:33] Estimation window: 2008-01-09 - 2011-12-23, Best order: (4, 0, 3)-(1, 1), AIC: -5.68513339779029, Final model converged
[2024-06-02T19:14:47] Estimation window: 2008-01-10 - 2011-12-27, Best order: (1, 0, 1)-(1, 1), AIC: -5.68676562989516, Final model converged
[2024-06-02T19:15:01] Estimation window: 2008-01-11 - 2011-12-28, Best order: (5, 0, 4)-(1, 1), AIC: -5.68302331786821, Final model converged
[2024-06-02T19:15:16] Estimation window: 2008-01-14 - 2011-12-29, Best order: (5, 0, 5)-(1, 1), AIC: -5.68315665941521, Final model converged
[2024-06-02T19:15:31] Estimation window: 2008-01-15 - 2011-12-30, Best order: (5, 0, 5)-(1, 1), AIC: -5.69149956522812, Final model FAILED to converge
[2024-06-02T19:15:45] Estimation window: 2008-01-16 - 2012-01-03, Best order: (3, 0, 4)-(1, 1), AIC: -5.70045886339066, Final model converged
[2024-06-02T19:16:00] Estimation window: 2008-01-17 - 2012-01-04, Best order: (3, 0, 4)-(1, 1), AIC: -5.69013337763764, Final model converged
[2024-06-02T19:16:16] Estimation window: 2008-01-18 - 2012-01-05, Best order: (4, 0, 3)-(1, 1), AIC: -5.69413742362837, Final model converged
[2024-06-02T19:16:30] Estimation window: 2008-01-22 - 2012-01-06, Best order: (1, 0, 1)-(1, 1), AIC: -5.69601971046967, Final model converged
[2024-06-02T19:16:46] Estimation window: 2008-01-23 - 2012-01-09, Best order: (4, 0, 2)-(1, 1), AIC: -5.69716440764428, Final model converged
[2024-06-02T19:17:00] Estimation window: 2008-01-24 - 2012-01-10, Best order: (5, 0, 5)-(1, 1), AIC: -5.69845938764369, Final model converged
[2024-06-02T19:17:15] Estimation window: 2008-01-25 - 2012-01-11, Best order: (5, 0, 4)-(1, 1), AIC: -5.71805646576291, Final model converged
[2024-06-02T19:17:33] Estimation window: 2008-01-28 - 2012-01-12, Best order: (4, 0, 5)-(1, 1), AIC: -5.69706200953948, Final model converged
[2024-06-02T19:17:48] Estimation window: 2008-01-29 - 2012-01-13, Best order: (5, 0, 5)-(1, 1), AIC: -5.72687907560828, Final model converged
[2024-06-02T19:18:02] Estimation window: 2008-01-30 - 2012-01-17, Best order: (4, 0, 3)-(1, 1), AIC: -5.70403414950891, Final model FAILED to converge
[2024-06-02T19:18:16] Estimation window: 2008-01-31 - 2012-01-18, Best order: (3, 0, 4)-(1, 1), AIC: -5.70371699678069, Final model FAILED to converge
[2024-06-02T19:18:30] Estimation window: 2008-02-01 - 2012-01-19, Best order: (3, 0, 3)-(1, 1), AIC: -5.70709341263954, Final model converged
[2024-06-02T19:18:45] Estimation window: 2008-02-04 - 2012-01-20, Best order: (5, 0, 5)-(1, 1), AIC: -5.72996723527554, Final model FAILED to converge
[2024-06-02T19:18:59] Estimation window: 2008-02-05 - 2012-01-23, Best order: (5, 0, 5)-(1, 1), AIC: -5.72168794116448, Final model FAILED to converge
[2024-06-02T19:19:14] Estimation window: 2008-02-06 - 2012-01-24, Best order: (4, 0, 2)-(1, 1), AIC: -5.71618283035401, Final model converged
[2024-06-02T19:19:37] Estimation window: 2008-02-07 - 2012-01-25, Best order: (5, 0, 4)-(1, 1), AIC: -5.71250192769251, Final model converged
[2024-06-02T19:19:51] Estimation window: 2008-02-08 - 2012-01-26, Best order: (5, 0, 5)-(1, 1), AIC: -5.71030476786576, Final model converged
[2024-06-02T19:20:06] Estimation window: 2008-02-11 - 2012-01-27, Best order: (5, 0, 5)-(1, 1), AIC: -5.71190795418036, Final model converged
[2024-06-02T19:20:21] Estimation window: 2008-02-12 - 2012-01-30, Best order: (5, 0, 5)-(1, 1), AIC: -5.72150827722648, Final model converged
[2024-06-02T19:20:36] Estimation window: 2008-02-13 - 2012-01-31, Best order: (5, 0, 5)-(1, 1), AIC: -5.71052767793682, Final model converged
[2024-06-02T19:20:50] Estimation window: 2008-02-14 - 2012-02-01, Best order: (5, 0, 5)-(1, 1), AIC: -5.71580199280362, Final model converged
[2024-06-02T19:21:05] Estimation window: 2008-02-15 - 2012-02-02, Best order: (1, 0, 1)-(1, 1), AIC: -5.72600797738598, Final model converged
[2024-06-02T19:21:19] Estimation window: 2008-02-19 - 2012-02-03, Best order: (4, 0, 2)-(1, 1), AIC: -5.71724326496848, Final model converged
[2024-06-02T19:21:40] Estimation window: 2008-02-20 - 2012-02-06, Best order: (1, 0, 1)-(1, 1), AIC: -5.72276482401518, Final model converged
[2024-06-02T19:22:04] Estimation window: 2008-02-21 - 2012-02-07, Best order: (4, 0, 2)-(1, 1), AIC: -5.72848029992054, Final model FAILED to converge
[2024-06-02T19:22:19] Estimation window: 2008-02-22 - 2012-02-08, Best order: (5, 0, 5)-(1, 1), AIC: -5.72854128902593, Final model converged
[2024-06-02T19:22:34] Estimation window: 2008-02-25 - 2012-02-09, Best order: (4, 0, 5)-(1, 1), AIC: -5.73635369593434, Final model converged
[2024-06-02T19:22:48] Estimation window: 2008-02-26 - 2012-02-10, Best order: (1, 0, 1)-(1, 1), AIC: -5.73215261190141, Final model converged
[2024-06-02T19:23:15] Estimation window: 2008-02-27 - 2012-02-13, Best order: (4, 0, 2)-(1, 1), AIC: -5.73385858431559, Final model converged
[2024-06-02T19:23:38] Estimation window: 2008-02-28 - 2012-02-14, Best order: (4, 0, 4)-(1, 1), AIC: -5.7339796336701, Final model FAILED to converge
[2024-06-02T19:24:02] Estimation window: 2008-02-29 - 2012-02-15, Best order: (5, 0, 5)-(1, 1), AIC: -5.743551774584, Final model converged
[2024-06-02T19:24:19] Estimation window: 2008-03-03 - 2012-02-16, Best order: (5, 0, 5)-(1, 1), AIC: -5.73244578632615, Final model converged
[2024-06-02T19:24:35] Estimation window: 2008-03-04 - 2012-02-17, Best order: (5, 0, 5)-(1, 1), AIC: -5.75336327566863, Final model FAILED to converge
[2024-06-02T19:24:50] Estimation window: 2008-03-05 - 2012-02-21, Best order: (4, 0, 3)-(1, 1), AIC: -5.73889260169123, Final model converged
[2024-06-02T19:25:05] Estimation window: 2008-03-06 - 2012-02-22, Best order: (3, 0, 4)-(1, 1), AIC: -5.74450787637389, Final model converged
[2024-06-02T19:25:32] Estimation window: 2008-03-07 - 2012-02-23, Best order: (5, 0, 4)-(1, 1), AIC: -5.77242988016057, Final model converged
[2024-06-02T19:25:47] Estimation window: 2008-03-10 - 2012-02-24, Best order: (5, 0, 4)-(1, 1), AIC: -5.73794925622927, Final model FAILED to converge
[2024-06-02T19:26:02] Estimation window: 2008-03-11 - 2012-02-27, Best order: (4, 0, 5)-(1, 1), AIC: -5.77120225329689, Final model FAILED to converge
[2024-06-02T19:26:16] Estimation window: 2008-03-12 - 2012-02-28, Best order: (3, 0, 3)-(1, 1), AIC: -5.75965362906459, Final model converged
[2024-06-02T19:26:32] Estimation window: 2008-03-13 - 2012-02-29, Best order: (5, 0, 5)-(1, 1), AIC: -5.76480401238246, Final model converged
[2024-06-02T19:26:47] Estimation window: 2008-03-14 - 2012-03-01, Best order: (5, 0, 5)-(1, 1), AIC: -5.76864369312012, Final model converged
[2024-06-02T19:27:04] Estimation window: 2008-03-17 - 2012-03-02, Best order: (3, 0, 3)-(1, 1), AIC: -5.76618848859855, Final model converged
[2024-06-02T19:27:19] Estimation window: 2008-03-18 - 2012-03-05, Best order: (5, 0, 5)-(1, 1), AIC: -5.76572837975139, Final model converged
[2024-06-02T19:27:51] Estimation window: 2008-03-19 - 2012-03-06, Best order: (4, 0, 4)-(1, 1), AIC: -5.76658933816125, Final model FAILED to converge
[2024-06-02T19:28:07] Estimation window: 2008-03-20 - 2012-03-07, Best order: (4, 0, 2)-(1, 1), AIC: -5.78334319431568, Final model converged
[2024-06-02T19:28:22] Estimation window: 2008-03-24 - 2012-03-08, Best order: (5, 0, 4)-(1, 1), AIC: -5.79537741849177, Final model FAILED to converge
[2024-06-02T19:28:37] Estimation window: 2008-03-25 - 2012-03-09, Best order: (5, 0, 4)-(1, 1), AIC: -5.77967898265118, Final model converged
[2024-06-02T19:28:53] Estimation window: 2008-03-26 - 2012-03-12, Best order: (3, 0, 3)-(1, 1), AIC: -5.77943295825805, Final model converged
[2024-06-02T19:29:08] Estimation window: 2008-03-27 - 2012-03-13, Best order: (5, 0, 5)-(1, 1), AIC: -5.78855258604418, Final model converged
[2024-06-02T19:29:22] Estimation window: 2008-03-28 - 2012-03-14, Best order: (2, 0, 4)-(1, 1), AIC: -5.78297076304809, Final model converged
[2024-06-02T19:29:37] Estimation window: 2008-03-31 - 2012-03-15, Best order: (3, 0, 3)-(1, 1), AIC: -5.77977829208234, Final model converged
[2024-06-02T19:29:52] Estimation window: 2008-04-01 - 2012-03-16, Best order: (4, 0, 5)-(1, 1), AIC: -5.77987771179961, Final model converged
[2024-06-02T19:30:07] Estimation window: 2008-04-02 - 2012-03-19, Best order: (1, 0, 1)-(1, 1), AIC: -5.78478249212382, Final model converged
[2024-06-02T19:30:22] Estimation window: 2008-04-03 - 2012-03-20, Best order: (4, 0, 3)-(1, 1), AIC: -5.79286735455944, Final model converged
[2024-06-02T19:30:36] Estimation window: 2008-04-04 - 2012-03-21, Best order: (5, 0, 5)-(1, 1), AIC: -5.78195780064171, Final model converged
[2024-06-02T19:30:52] Estimation window: 2008-04-07 - 2012-03-22, Best order: (5, 0, 2)-(1, 1), AIC: -5.78367708620435, Final model converged
[2024-06-02T19:31:08] Estimation window: 2008-04-08 - 2012-03-23, Best order: (5, 0, 5)-(1, 1), AIC: -5.79803879367918, Final model converged
[2024-06-02T19:31:33] Estimation window: 2008-04-09 - 2012-03-26, Best order: (3, 0, 3)-(1, 1), AIC: -5.7861482965378, Final model converged
[2024-06-02T19:31:48] Estimation window: 2008-04-10 - 2012-03-27, Best order: (3, 0, 3)-(1, 1), AIC: -5.78975338262203, Final model converged
[2024-06-02T19:32:03] Estimation window: 2008-04-11 - 2012-03-28, Best order: (4, 0, 4)-(1, 1), AIC: -5.79981570044463, Final model converged
[2024-06-02T19:32:16] Estimation window: 2008-04-14 - 2012-03-29, Best order: (1, 0, 1)-(1, 1), AIC: -5.79109326460656, Final model converged
[2024-06-02T19:32:30] Estimation window: 2008-04-15 - 2012-03-30, Best order: (3, 0, 4)-(1, 1), AIC: -5.79014156274958, Final model FAILED to converge
[2024-06-02T19:32:44] Estimation window: 2008-04-16 - 2012-04-02, Best order: (4, 0, 2)-(1, 1), AIC: -5.79517307243782, Final model converged
[2024-06-02T19:32:59] Estimation window: 2008-04-17 - 2012-04-03, Best order: (5, 0, 5)-(1, 1), AIC: -5.78832797453489, Final model converged
